step,task_id,variant,provider,model,sample_index,maintenance_provider,maintenance_model,pass_bool,token_estimate,cc_average,nesting_depth,function_count,elapsed_seconds,accumulated_score,failure_type,failure_detail
1,csv_sales_aggregate,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,935,4.0,2,3,14.537,3740.0,none,
2,csv_sales_aggregate,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,981,2.8,2,5,5.868,6486.8,none,
3,csv_sales_aggregate,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1103,3.4,2,5,8.083,10237.0,none,
1,csv_sales_aggregate,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1278,5.0,2,2,19.109,6390.0,none,
2,csv_sales_aggregate,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1450,3.0,2,4,10.625,10740.0,none,
3,csv_sales_aggregate,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1861,5.25,2,4,9.745,20510.25,none,
1,dedupe_event_stream,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1639,11.0,3,1,24.649,18029.0,none,
2,dedupe_event_stream,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1964,3.75,2,4,9.873,25394.0,none,
3,dedupe_event_stream,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2448,6.0,2,4,12.265,40082.0,none,
1,dedupe_event_stream,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1692,11.0,3,1,26.997,18612.0,none,
2,dedupe_event_stream,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2027,3.2,2,5,10.1,25098.4,none,
3,dedupe_event_stream,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2522,5.0,2,5,12.577,37708.4,none,
1,dedupe_event_stream,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1720,11.0,3,1,18.377,18920.0,none,
2,dedupe_event_stream,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1950,3.75,1,4,9.979,26232.5,none,
3,dedupe_event_stream,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2336,6.0,2,4,12.427,40248.5,none,
1,dedupe_event_stream,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,843,5.0,2,2,14.392,4215.0,none,
2,dedupe_event_stream,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,932,3.0,2,4,8.468,7011.0,none,
3,dedupe_event_stream,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,1144,5.0,2,4,6.31,12731.0,none,
1,dedupe_event_stream,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1645,4.667,3,3,19.498,7677.215,none,
2,dedupe_event_stream,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1911,3.6,2,5,11.357,14556.815,none,
3,dedupe_event_stream,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2217,5.0,2,5,9.9,25641.815,none,
1,dedupe_event_stream,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1768,5.333,2,3,17.362,9428.744,none,
2,dedupe_event_stream,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2009,3.6,2,5,15.428,16661.144,none,
3,dedupe_event_stream,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2371,4.167,2,6,11.578,26541.101,none,
1,dedupe_event_stream,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1812,4.667,3,3,17.574,8456.604,none,
2,dedupe_event_stream,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2070,2.833,2,6,11.199,14320.914,none,
3,dedupe_event_stream,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2386,3.833,2,6,20.302,23466.452,none,
1,dependency_order,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1451,19.0,4,1,22.912,27569.0,none,
2,dependency_order,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1729,4.6,4,5,11.371,35522.4,none,
3,dependency_order,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2421,5.143,4,7,22.696,47973.603,none,
1,dependency_order,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1667,18.0,4,1,25.164,30006.0,none,
2,dependency_order,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1939,4.4,4,5,14.875,38537.6,none,
3,dependency_order,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2476,4.857,4,7,14.778,50563.532,none,
1,dependency_order,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1586,19.0,4,1,22.441,30134.0,none,
2,dependency_order,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1808,4.6,4,5,32.95,38450.8,none,
3,dependency_order,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2485,5.429,4,7,13.73,51941.865,none,
1,dependency_order,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,790,11.0,2,1,15.545,8690.0,none,
2,dependency_order,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,882,3.5,2,4,5.203,11777.0,none,
3,dependency_order,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,1241,5.5,3,4,7.237,18602.5,none,
1,dependency_order,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,False,1983,6.5,4,4,23.769,12889.5,assertion_failure,">       assert plan_batches(dependencies, completed={""build""}) == [[""lint""], [""test""], [""deploy""]]"
2,dependency_order,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,False,2347,3.75,3,8,13.255,21690.75,assertion_failure,">       assert plan_batches(dependencies, completed={""build""}) == [[""lint""], [""test""], [""deploy""]]"
3,dependency_order,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,False,2919,4.667,3,9,19.778,35313.723,assertion_failure,">       assert plan_batches(dependencies, completed={""build""}) == [[""lint""], [""test""], [""deploy""]]"
1,dependency_order,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,False,2054,5.8,4,5,25.078,11913.2,assertion_failure,">       assert plan_batches(dependencies, completed={""build""}) == [[""lint""], [""test""], [""deploy""]]"
2,dependency_order,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,False,2106,3.857,3,7,10.611,20036.042,assertion_failure,">       assert plan_batches(dependencies, completed={""build""}) == [[""lint""], [""test""], [""deploy""]]"
3,dependency_order,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,False,2496,5.0,3,7,13.589,32516.042,assertion_failure,">       assert plan_batches(dependencies, completed={""build""}) == [[""lint""], [""test""], [""deploy""]]"
1,dependency_order,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2138,5.0,4,4,24.166,10690.0,none,
2,dependency_order,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2433,3.0,3,8,11.899,17989.0,none,
3,dependency_order,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,3259,3.9,3,10,22.866,30699.1,none,
1,event_windows,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1485,14.0,2,1,15.924,20790.0,none,
2,event_windows,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1701,3.8,2,5,9.368,27253.8,none,
3,event_windows,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2163,6.2,2,5,13.602,40664.4,none,
1,event_windows,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1473,12.0,3,1,18.304,17676.0,none,
2,event_windows,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1730,3.4,2,5,10.834,23558.0,none,
3,event_windows,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2044,4.0,2,5,21.394,31734.0,none,
1,event_windows,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1469,11.0,2,1,13.788,16159.0,none,
2,event_windows,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1869,3.333,2,6,19.109,22388.377,none,
3,event_windows,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,2357,4.6,2,5,13.251,33230.577,none,
1,event_windows,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,759,8.0,2,1,12.388,6072.0,none,
2,event_windows,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,812,3.333,2,3,5.192,8778.396,none,
3,event_windows,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,942,4.333,2,3,5.6,12860.082,none,
1,event_windows,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1465,4.0,2,3,15.337,5860.0,none,
2,event_windows,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1683,2.5,2,6,27.451,10067.5,none,
3,event_windows,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2040,3.0,2,7,9.688,16187.5,none,
1,event_windows,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1405,3.667,2,3,18.716,5152.135,none,
2,event_windows,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1582,2.6,2,5,8.084,9265.335,none,
3,event_windows,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1995,4.4,2,5,9.398,18043.335,none,
1,event_windows,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1359,3.667,2,3,17.073,4983.453,none,
2,event_windows,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1549,2.6,2,5,7.438,9010.853,none,
3,event_windows,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1848,3.2,2,5,8.769,14924.453,none,
1,feature_flag_matrix,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,659,5.5,3,2,14.218,3624.5,none,
2,feature_flag_matrix,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,907,2.286,3,7,5.455,5697.902,none,
3,feature_flag_matrix,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1575,4.0,3,10,10.123,11997.902,none,
1,feature_flag_matrix,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,716,5.5,3,2,12.101,3938.0,none,
2,feature_flag_matrix,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,989,2.286,3,7,7.02,6198.854,none,
3,feature_flag_matrix,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1862,4.0,3,10,10.78,13646.854,none,
1,feature_flag_matrix,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,699,5.5,3,2,11.437,3844.5,none,
2,feature_flag_matrix,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,927,2.5,3,6,6.072,6162.0,none,
3,feature_flag_matrix,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1591,4.333,3,9,11.449,13055.803,none,
1,feature_flag_matrix,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,649,3.5,2,2,11.675,2271.5,none,
2,feature_flag_matrix,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,943,1.714,2,7,6.861,3887.802,none,
3,feature_flag_matrix,human_reference,human,expert,0,anthropic,claude-sonnet-4-6,True,1782,3.6,3,10,12.171,10303.002,none,
1,feature_flag_matrix,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1144,5.5,2,2,17.36,6292.0,none,
2,feature_flag_matrix,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1646,2.286,2,7,9.576,10054.756,none,
3,feature_flag_matrix,oracle_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,2645,3.2,3,10,14.355,18518.756,none,
1,feature_flag_matrix,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1022,4.5,2,2,17.532,4599.0,none,
2,feature_flag_matrix,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1391,2.75,2,4,7.004,8424.25,none,
3,feature_flag_matrix,oracle_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,2077,3.857,3,7,15.467,16435.239,none,
1,feature_flag_matrix,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,712,5.5,3,2,12.478,3916.0,none,
2,feature_flag_matrix,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,995,2.286,3,7,7.549,6190.57,none,
3,feature_flag_matrix,oracle_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1873,4.0,3,10,11.678,13682.57,none,
1,incident_desk_spec,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1279,9.0,3,1,13.759,11511.0,none,
2,incident_desk_spec,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1517,3.0,2,4,10.564,16062.0,none,
3,incident_desk_spec,baseline_generation,anthropic,claude-sonnet-4-6,0,anthropic,claude-sonnet-4-6,True,1953,5.0,2,4,9.972,25827.0,none,
1,incident_desk_spec,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1205,8.0,3,1,13.482,9640.0,none,
2,incident_desk_spec,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1454,3.0,2,4,8.511,14002.0,none,
3,incident_desk_spec,baseline_generation,anthropic,claude-sonnet-4-6,1,anthropic,claude-sonnet-4-6,True,1884,5.0,2,4,9.452,23422.0,none,
1,incident_desk_spec,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,825,10.0,3,1,12.169,8250.0,none,
2,incident_desk_spec,baseline_generation,anthropic,claude-sonnet-4-6,2,anthropic,claude-sonnet-4-6,True,1026,3.0,2,5,7.33,11328.0,none,
